Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Casino,Chrome 121.0.0.0,Casino Suite,,27-02-2024 12:24:43,27-02-2024 12:26:34,1m - 51.225s,ERROR
,,,,,,,
Test Cases/Casino/Open game successful,Chrome 121.0.0.0,"Expected Result - User should able to open the game, 
Actual Result - User can able to play the game",Open Game,27-02-2024 12:24:43,27-02-2024 12:26:34,1m - 51.103s,ERROR
Start setup action : setupTestCase,Chrome 121.0.0.0,,,27-02-2024 12:24:43,27-02-2024 12:24:58,15.183s,PASSED
"click(findTestObject(""Object Repository/Casino Page/CasinoMenu""))",Chrome 121.0.0.0,,,27-02-2024 12:24:58,27-02-2024 12:25:03,4.829s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,27-02-2024 12:25:03,27-02-2024 12:25:04,0.950s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,27-02-2024 12:25:04,27-02-2024 12:25:04,0.000s,PASSED
"for ([i = 1, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,27-02-2024 12:25:04,27-02-2024 12:26:34,1m - 29.923s,ERROR
